	count	db	C3L-01287.norm	C3L-00561.norm	C3L-00561	C3L-01287	C3L-01603	C3N-01524	C3L-01603.norm	C3N-00834.norm	C3N-01214.norm	C3N-01214	C3N-00834	C3N-01261	C3N-01261.norm	C3L-00917	C3L-00917.norm	C3L-00607.norm	C3L-01861	C3N-00194.norm	C3L-00010.norm	C3L-01352	C3N-00194	C3L-01861.norm	C3L-00010	C3L-00607	C3N-01646.norm	C3N-00495	C3L-01281.norm	C3N-00831	C3N-00495.norm	C3L-01281	C3N-01646	C3N-00831.norm	C3L-00791	C3L-00369	C3L-00183	C3L-00183.norm	C3N-01180	C3N-00168.norm	C3L-00369.norm	C3L-00791.norm	C3N-00168	C3L-00097.norm	C3L-00004.norm	C3N-00953.norm	C3L-00004	C3N-00150	C3N-00150.norm	C3N-00953	C3L-00097	C3L-00583	C3N-00244.norm	C3N-01178.norm	C3N-01178	C3L-00088	C3N-00244	C3L-00583.norm	C3L-00088.norm	C3L-00814.norm	C3L-00908	C3L-01885.norm	C3L-00814	C3L-01885	C3L-00026	C3L-00908.norm	C3L-00026.norm	C3L-00447.norm	C3L-00447	C3L-00416.norm	C3N-00246.norm	C3N-00148	C3N-00148.norm	C3N-00246	C3L-00416	C3L-00096	C3N-00646.norm	C3L-00765	C3L-01836	C3L-00902.norm	C3L-00096.norm	C3L-00902	C3N-00646	C3L-01836.norm	C3N-01175	C3L-00011	C3N-00177.norm	C3N-01200.norm	C3L-00011.norm	C3N-01175.norm	C3N-01200	C3N-00177	C3N-01176	C3N-01808.norm	C3L-00103	C3N-01176.norm	C3N-01649	C3N-01808	C3L-00103.norm	C3N-01649.norm	C3N-00149	C3N-00149.norm	C3L-00581.norm	C3L-00817	C3L-01313.norm	C3N-00573	C3L-00581	C3L-01313	C3N-00573.norm	C3L-00360	C3L-01302.norm	C3N-01361.norm	C3N-01361	C3N-01651.norm	C3N-01651	C3L-00360.norm	C3L-01302	C3L-00907	C3L-00448.norm	C3L-00907.norm	C3L-01286.norm	C3L-01607.norm	C3L-01607	C3L-00448	C3L-01286	C3N-01179	C3L-00606	C3N-01179.norm	C3L-00606.norm	C3N-01648	C3N-00242	C3N-01648.norm	C3N-00242.norm	C3L-00418.norm	C3N-00577.norm	C3L-01882	C3L-01882.norm	C3L-00418	C3N-00733.norm	C3N-00733	C3N-00577	C3L-00910.norm	C3L-00079.norm	C3N-01522	C3N-01522.norm	C3L-0079	C3N-01220.norm	C3N-01220	C3L-00910
CTP biosynthesis via salvage pathway	3	HMDB/SMPDB	4126.226772461897	4166.855086804918	5254.013831887339	3357.7438265914716	7602.245372083842	5649.063544265803	4719.435962928915	4219.789212570457	4580.096446325409	5959.726011944717	4942.2457858468015	6080.02932381658	4193.198708192394	4303.709461028438	4381.937992367618	5903.782533654619	3832.7157248246153	5737.506853681221	5656.734561984369	3845.694609460664	3778.417149274724	5194.293393630099	5149.252906003079	4373.749779302786	5592.607418324842	3181.2252569823663	6456.130075463008	3651.6453961243647	6260.408453144847	4354.86139236224	6314.930543138228	6025.332805612728	6692.517773998259	5785.671124519706	4103.533942709399	3897.4320554578476	2818.6866039599654	3829.574761843696	6384.362349164505	4289.209792528351	3427.3215842618524	4035.8877436081666	4670.330490166867	4535.769397316048	5749.978589339572	6126.721902308041	5860.070138392055	6231.694989218088	5429.631850828059	4649.7589052666835	5214.709111806163	5177.808651053033	5684.596668193331	4033.900596990061	4938.4611546994	6273.844637798902	5361.004010672593	6282.96122099316	5127.212936629579	5651.437488769094	4643.108836172674	3996.6094518124637	3577.745073009869	5425.572702808248	6242.701862670123	4799.614822122979	2533.3687676414334	5232.524704974341	5008.531697033991	6326.665423879131	5272.94191579274	4735.482273749217	5473.267000743602	3039.4535796922014	6442.512843282715	4216.726373032261	6122.905529476394	3989.3690467058464	4171.2267794167465	4039.076286253411	5418.615828661221	5557.371890906681	2409.774825717937	3887.741626055003	5788.900039660019	5007.053521816627	5029.008493024937	5410.4793007989165	4646.850820779412	5291.316118511838	3066.2396281568895	5352.032922806561	4542.8726759398	4940.882847039775	5146.9776089263005	5497.712184219869	5192.913244639614	4099.256664902268	4226.503810222422	4328.756015540687	6022.580721592854	5057.190982207803	6013.782183307655	3547.245485769568	6359.342641009464	6948.1061205456135	4768.611929812731	4733.423989358738	6422.980229783402	4644.426518788755	4798.360816260904	4357.514065011956	4415.263148083354	5409.195604202065	4830.041870017921	5261.980421335562	4742.7170823846445	5096.029054803663	4704.319601154599	6192.661365025833	6096.154440869569	6797.456847443583	1672.8425380793674	6349.206341793732	5994.983532391094	4262.069497546387	5602.852935333797	5188.258383447557	2756.8082163881704	5275.331778163145	5296.691996785268	5565.928068279305	4691.392724103341	5988.996509286069	4916.065827156061	4210.613309495632	5237.980211952452	4738.11477397605	4454.4276381407735	5236.635210846305	6380.556538785002	4748.062223805797	5115.330954565696	4055.4067772494013	3392.420099898213	4008.610950640515	3698.1315216274265
Caffeine metabolism	7	HMDB/SMPDB	5859.0	3458.9999999999995	8106.000000000001	8289.0	3698.9999999999995	2731.0	4197.0	4186.0	8946.999999999998	6093.0	1686.0	8037.000000000001	3024.0	5769.0	2702.0	5178.0	8106.000000000001	4704.0	2162.0	8599.0	2671.0	4622.0	2740.0000000000005	3193.0	2802.0	3619.9999999999995	3777.0	5915.0	5871.999999999999	7465.0	2118.0	5313.0	6767.0	8972.0	7829.999999999999	3735.0000000000005	4484.0	4679.000000000001	5449.0	2427.9999999999995	7747.000000000001	5666.0	5136.0	3404.0	2599.0000000000005	3411.0	7619.0	2215.0	8506.000000000002	2828.0	2531.0000000000005	3573.0	1707.0000000000002	4053.0	8819.999999999998	5149.999999999999	5202.0	3461.0	5070.0	2864.0	798.0	7792.000000000001	1756.0000000000002	8420.0	5245.0	4955.0	4116.0	9231.0	3244.0	7986.0	4167.000000000001	1105.0	6902.0	7656.0	2230.0	7185.0	5659.0	4111.0	3354.0000000000005	7150.000000000001	7787.0	2967.0	1846.0	6727.0	3196.0	7134.000000000001	5245.0	3636.9999999999995	7111.000000000001	2638.0	2702.0	4395.0	5430.999999999999	2229.0	7904.0	8037.000000000001	5193.0	2894.0	7118.000000000001	6452.0	4197.0	7174.0	3398.0	5245.0	1659.0	7519.0	2727.0	1292.0000000000002	3530.9999999999995	3217.0	7541.0	3786.9999999999995	7193.000000000001	2241.9999999999995	8202.0	6255.999999999999	2909.0000000000005	2808.9999999999995	8142.000000000001	8099.0	7723.999999999999	8022.0	5345.0	9093.0	3694.0	3379.0	6625.0	4517.0	6103.999999999999	3844.0	6215.0	4229.0	5164.0	4036.0	3006.9999999999995	7494.0	8705.0	6721.0	8465.999999999998	2459.0	5581.999999999999	2472.0	3061.0	7172.0	6482.0	8383.0	2089.0
Calcium signaling pathway	40	HMDB/SMPDB	6137.295331364654	4752.990386941529	3562.7737116033773	6205.940673906489	3637.639471428868	4520.97189091704	2607.399732118643	5593.128268406031	6119.905979039834	5264.439160265454	4457.856003101131	1431.4206061345756	4070.3139336033373	3234.3044145114663	4819.678824923645	5815.271989164859	5877.752575165218	6142.032552418342	5846.662292577328	5634.479948133579	6293.064517931346	3944.5567486517216	3135.924050637896	4332.107309858753	5471.928706275225	4454.8840546554775	3951.3444400879753	4813.224267849514	6483.204961116152	3897.928470690057	5980.2119979387635	5170.218004952205	5643.53745796635	3792.5470873775944	3623.962367868797	3998.0056139726184	995.7443319574312	4301.407748748303	4188.663910058541	5159.782685584805	5795.308442956539	6121.824940279424	4776.302660601631	5320.015728005665	6325.952416434667	3751.3739008493976	3785.8461757489226	2894.4502490063023	4119.682297776807	4339.808025358884	5746.517767795292	5424.208626138615	1170.2599358790612	3204.4650768548945	1970.8701309502915	5041.83362129992	5346.399820143847	5310.327013282917	5018.258818274373	4805.5326786630085	5715.69790079934	4671.987016309707	3903.6623736609345	4210.121429684627	4554.463835762196	3952.913475772756	4551.842744139826	4434.390563364062	5605.898564255713	2243.676818715477	5214.861589540311	3866.9755028654868	4870.360688079797	1030.0000663159854	5928.148916157242	4420.341458828033	5021.62569782019	5648.059001751182	3795.395182977698	4310.297390518195	5820.4815204662955	5035.838218003815	865.2098380784938	5892.5658215275125	4714.659672231944	6517.984338965292	3867.887606188522	5634.451171506085	5988.681330277323	6068.027207754951	1890.094677214432	5589.912464070713	4885.135627472726	4740.437159745918	3312.2872118523687	5979.637414744684	3980.4986645603385	5475.403630530671	3863.875904085273	6357.052709385299	5209.080118568481	4218.614403680112	5636.536213220502	2760.776718993708	6149.839569969858	5594.0542966530575	5098.418994543441	2360.16799172369	4954.59393431597	5692.163452439888	3549.8574865568467	2339.043561800565	6381.1739495115135	4516.352019502124	6077.918446257849	5031.559845389174	3534.4637614791427	3190.5654081582165	3269.912153622734	5460.016003662166	1126.8849079222593	3789.1653036610674	4652.870160274409	4738.573872606657	7045.5238538439435	6193.382485691071	5770.157331104965	2638.855841544795	4394.226228663888	5346.626208361104	4276.673121813222	5667.555954547724	3663.6171424562563	4460.860021537718	4341.308763453207	4738.622137824605	4577.512123051164	6053.108941683211	6637.717677957872	5386.890775186495	5408.585457282512	6768.796172078089	4402.322237744859	4253.412805570016	5833.275583060906	5583.592911827109	5693.250709539548
Canavan Disease	14	HMDB/SMPDB	951.5700863278197	821.7943349329149	2916.429638756166	3778.272508156086	5489.49419890591	7077.883871419173	606.4439423430192	1095.3908232450299	4237.971899687822	7251.075837720753	660.9093299402525	2504.0558783759566	730.3431775660101	1808.2056102130623	1122.907496390418	813.0926418939498	6506.891137562128	2357.6833778090054	4842.244690964624	800.3669918140962	6211.834416974929	929.5719859027138	5827.059818105225	1101.0647557754548	4103.624784683846	6619.629519419884	8738.13099038922	6251.087185917424	2349.4577421732233	568.2416129226547	3957.6871833217324	1195.0475997336036	2397.114413821956	4124.622576021063	1416.4144844197447	737.6682916744874	4351.597116062989	2246.52161577909	5911.485095279366	1840.8119153780397	6265.541763638329	1592.7869807350319	4313.659383444013	1045.2537052334112	1747.9234939138141	6800.885486658254	4414.160869336388	6864.204349574803	1590.119848815996	996.4832810132788	1341.634996814144	2582.3185296610336	6233.142344896804	2540.238672545539	1035.7324028310645	3886.276178022267	2709.383032764583	2220.8954542538936	3451.8556045414957	892.2951636597728	1125.4478635917544	6032.290962377583	3994.554429672569	1285.2702173137573	7043.111664723753	1915.3560065013137	3498.6637890857023	6974.699787633138	663.448067061256	5985.1062719968395	428.7013849920984	5445.822502307236	3096.5526972589023	2669.2747738702383	1469.6997578953294	7642.940784842069	6677.873532132518	4258.760489079741	5213.601398636722	6097.375991483929	3582.4362976188304	1524.5892013157252	7997.719440616026	2882.216436056646	3049.937732301012	7379.971974672805	1046.1668062335154	409.4957250895965	3073.3757280062364	5338.670645251477	568.5868803288135	1490.626413292925	5892.626554804706	504.812425803322	6156.921474448839	3475.021819131916	5665.413792052582	3112.2531004227167	3501.8243922242755	6333.828724588388	808.8198551640401	2850.875065093488	2110.054842385988	1291.8657539573946	5325.689431764623	7621.27489418424	1777.105461294639	5024.572766581482	859.2267252434999	1346.0753946117802	2961.7950328947522	1234.501659564169	2663.1097754384573	5660.872305067644	4326.229963894446	4236.309142792746	997.7942323613775	2240.5631687121177	922.6484451485242	6918.823762515347	5748.802627781523	1457.664406087762	2522.2032790998774	1003.6547418023202	3233.7068448979344	1218.9364803229735	7965.2241345465045	3555.2634443029065	4034.747888011243	4273.466917337262	1028.7600593268796	1021.4832611200748	7750.575725840276	8219.941040965046	1359.1365363222096	1072.6966786219764	2298.0720098820443	2873.687978112918	1433.9956157567335	1343.051526909253	7859.616528071694	2786.909763372377	648.6231696548065	690.2575107923985	2204.8023362896924	5571.549366815064	3653.9524018987663
Candesartan Action Pathway	4	HMDB/SMPDB	632.2421277778875	344.3978369334354	9628.430808576848	1676.0352592709826	5246.790579899266	1653.3996338217114	1311.1959059477113	1895.2701885573008	8189.735901938367	1999.3563556013505	89.68176962246709	7390.546960826601	8599.100416662235	2252.857708297981	145.107777342657	9146.281357238568	6871.480258846049	9132.944395361688	2836.2137589211598	8923.494590445674	5698.085717126147	59.21203170911772	1407.7324718071827	9573.374351882892	2377.141879191235	1319.0794872485446	4026.189953943715	4460.813182359027	750.748968187922	8922.506224087385	7453.518800182634	1613.9968226746694	1556.4668984568536	8796.410965844863	7287.384889545311	3311.9202424333203	9405.305776635647	5844.164917659037	8994.12732271073	462.5384169642712	1730.8177797523065	139.2991866893996	1379.7534610159605	4226.840106515331	9569.272373425503	1614.3584650133562	652.6058772643505	9390.215443969586	7435.016116321925	1243.0998541132265	47.06202726625785	5282.407841709636	9622.61614673204	1082.6133365146848	9167.820538089683	1365.65749636351	3985.104127307353	97.88935799930442	7560.709305100003	667.3780499844047	8071.390036782945	6305.831766106392	9654.80736568533	4896.52062238903	3466.6997079520083	1450.2765919653384	2822.7805454648183	2704.997012044145	9633.53802426628	8117.187687322428	494.0657933396761	9299.542382575717	9603.810774448662	9457.562657711129	2641.989330492619	2571.6993642039947	9687.844647304844	1707.5945349464153	161.88324816898603	1360.7347612005183	2284.8331627934795	6597.041512503366	9603.312074007286	8976.286387063936	6355.522077815662	2226.8997422087227	142.45319125992418	2849.9481133722006	9085.823467416996	6024.120003750403	4801.0656499361485	83.04395084295057	2216.59361472447	2133.823989745753	7921.920979119249	8962.184468410405	15.274057970829654	792.4185533334822	7269.180415215595	9435.623856538006	229.29601669130014	1779.9620661535337	5674.615846443849	8754.088090159901	8691.808101901985	9759.619569753733	1002.9892453276736	5163.328505095281	4344.143648760741	411.37899310375406	7428.290447041204	1546.867496962836	9524.68929166939	5602.6396088810025	3362.9276313309415	907.474527477186	182.59333455129448	7809.751217595439	160.19985959713725	6887.458199500751	9440.348588865038	9254.22169525987	8666.113386806946	4176.4364809213075	6753.8269567370235	1228.2911886949921	1674.4945818429167	7238.265810044186	9886.363968042411	4888.604742665953	9513.234552857222	2583.153471131727	1007.5099064511447	7472.628476404401	438.70641949566954	8910.966682519966	9060.075960432787	9524.28999314533	7535.840747996023	3068.9270833918918	3864.594783528996	9711.961249016776	8779.827786989523	9133.111660584847	2143.887725236246	2591.9470227090283	1221.9395667815945
Capecitabine Action Pathway	5	HMDB/SMPDB	5272.477842614511	5417.281579320608	1946.6543703596697	5995.689523186929	3796.5131606506548	1353.6739918224007	6000.59849983413	6214.082894651095	7087.541514107724	2725.982168133802	3722.8506894729917	2703.2208103026264	5219.966955101621	2780.9114318817687	2022.643472645849	7515.661137116004	4691.840230637267	7887.750045585833	3254.540186466446	2505.3317323696365	1840.092958699647	7395.563353873522	2468.067620361515	3174.005960835508	6959.707240837855	1059.0166504342617	2699.3124111484176	2509.95062506257	4833.801451367164	1258.951833489807	3137.4703092229324	4680.956906236559	523.3339875924179	1074.4066419637961	2703.8535784598685	6383.595832161246	6043.960914001682	7016.430872191261	6762.5521103976835	5650.390651950128	2601.834788870813	4444.296640010044	4555.056287548305	4364.775278757822	374.30820707337875	3957.276249743663	6074.859980000111	2125.6694932678106	2227.3910142904942	5635.836557806916	4981.136453557857	6804.6402848659345	952.6300019480615	3011.776745929663	2045.6413368613912	5775.007893953755	8208.754712297048	9058.026358669153	1391.5562671988039	6111.467148002312	373.9175021885061	4113.048165730814	4814.65281701322	6753.29308173651	1622.0662001646592	5182.617309598844	1462.091431850371	8647.478088599362	8650.467475496262	5768.679574322498	6938.30652439028	3552.176910684391	847.5550113869023	293.41653044106914	7203.604468989504	2250.1841945965402	3932.306498769222	7999.281721505622	2590.477426686667	3356.0509391886044	4140.936672531002	6470.6240958304625	7919.521400189571	900.3224765485727	8865.488023961449	5787.448874157156	2763.69795882645	6624.733786002506	2626.1881555143873	1283.2648993789708	1509.486266114575	3485.655058505881	3073.8578204138453	4445.828334661184	6186.231003649574	3765.6059109126204	7011.659616516021	5846.445959701007	1741.7757564139006	7193.060684171346	5384.277217633315	3664.2954481443753	8053.858422633621	1558.788502929644	1023.496958987192	448.0511974709641	7799.8018050376095	699.5950964608395	5006.45915297961	6251.771049831073	4579.772403030148	6163.949511447888	7137.364403849324	5976.581701797778	1838.624984421495	2074.9757863563195	5773.23005788215	7303.021954758707	6108.780344460503	3192.9196662026043	1561.2221267060256	3177.192921172885	539.9026185858313	3418.858672578102	1338.1255452677167	6011.839103987643	4571.86486681401	833.758908696592	399.8630253631502	5216.644004761109	5421.0660298445755	5755.79588861191	8183.6082609685145	2789.410897335989	6515.718858067784	2207.941113579312	4548.616286952017	802.9727081233943	1027.9604071337867	7330.169849132047	7832.84009381644	1572.6610128877676	6538.647255473852	3464.4333434888067	5034.117996569136	1698.8915605993595	3578.546864624879
Capecitabine Metabolism Pathway	5	HMDB/SMPDB	5272.477842614511	5417.281579320608	1946.6543703596697	5995.689523186929	3796.5131606506548	1353.6739918224007	6000.59849983413	6214.082894651095	7087.541514107724	2725.982168133802	3722.8506894729917	2703.2208103026264	5219.966955101621	2780.9114318817687	2022.643472645849	7515.661137116004	4691.840230637267	7887.750045585833	3254.540186466446	2505.3317323696365	1840.092958699647	7395.563353873522	2468.067620361515	3174.005960835508	6959.707240837855	1059.0166504342617	2699.3124111484176	2509.95062506257	4833.801451367164	1258.951833489807	3137.4703092229324	4680.956906236559	523.3339875924179	1074.4066419637961	2703.8535784598685	6383.595832161246	6043.960914001682	7016.430872191261	6762.5521103976835	5650.390651950128	2601.834788870813	4444.296640010044	4555.056287548305	4364.775278757822	374.30820707337875	3957.276249743663	6074.859980000111	2125.6694932678106	2227.3910142904942	5635.836557806916	4981.136453557857	6804.6402848659345	952.6300019480615	3011.776745929663	2045.6413368613912	5775.007893953755	8208.754712297048	9058.026358669153	1391.5562671988039	6111.467148002312	373.9175021885061	4113.048165730814	4814.65281701322	6753.29308173651	1622.0662001646592	5182.617309598844	1462.091431850371	8647.478088599362	8650.467475496262	5768.679574322498	6938.30652439028	3552.176910684391	847.5550113869023	293.41653044106914	7203.604468989504	2250.1841945965402	3932.306498769222	7999.281721505622	2590.477426686667	3356.0509391886044	4140.936672531002	6470.6240958304625	7919.521400189571	900.3224765485727	8865.488023961449	5787.448874157156	2763.69795882645	6624.733786002506	2626.1881555143873	1283.2648993789708	1509.486266114575	3485.655058505881	3073.8578204138453	4445.828334661184	6186.231003649574	3765.6059109126204	7011.659616516021	5846.445959701007	1741.7757564139006	7193.060684171346	5384.277217633315	3664.2954481443753	8053.858422633621	1558.788502929644	1023.496958987192	448.0511974709641	7799.8018050376095	699.5950964608395	5006.45915297961	6251.771049831073	4579.772403030148	6163.949511447888	7137.364403849324	5976.581701797778	1838.624984421495	2074.9757863563195	5773.23005788215	7303.021954758707	6108.780344460503	3192.9196662026043	1561.2221267060256	3177.192921172885	539.9026185858313	3418.858672578102	1338.1255452677167	6011.839103987643	4571.86486681401	833.758908696592	399.8630253631502	5216.644004761109	5421.0660298445755	5755.79588861191	8183.6082609685145	2789.410897335989	6515.718858067784	2207.941113579312	4548.616286952017	802.9727081233943	1027.9604071337867	7330.169849132047	7832.84009381644	1572.6610128877676	6538.647255473852	3464.4333434888067	5034.117996569136	1698.8915605993595	3578.546864624879
Capecitabine Pathway	5	HMDB/SMPDB	5272.477842614511	5417.281579320608	1946.6543703596697	5995.689523186929	3796.5131606506548	1353.6739918224007	6000.59849983413	6214.082894651095	7087.541514107724	2725.982168133802	3722.8506894729917	2703.2208103026264	5219.966955101621	2780.9114318817687	2022.643472645849	7515.661137116004	4691.840230637267	7887.750045585833	3254.540186466446	2505.3317323696365	1840.092958699647	7395.563353873522	2468.067620361515	3174.005960835508	6959.707240837855	1059.0166504342617	2699.3124111484176	2509.95062506257	4833.801451367164	1258.951833489807	3137.4703092229324	4680.956906236559	523.3339875924179	1074.4066419637961	2703.8535784598685	6383.595832161246	6043.960914001682	7016.430872191261	6762.5521103976835	5650.390651950128	2601.834788870813	4444.296640010044	4555.056287548305	4364.775278757822	374.30820707337875	3957.276249743663	6074.859980000111	2125.6694932678106	2227.3910142904942	5635.836557806916	4981.136453557857	6804.6402848659345	952.6300019480615	3011.776745929663	2045.6413368613912	5775.007893953755	8208.754712297048	9058.026358669153	1391.5562671988039	6111.467148002312	373.9175021885061	4113.048165730814	4814.65281701322	6753.29308173651	1622.0662001646592	5182.617309598844	1462.091431850371	8647.478088599362	8650.467475496262	5768.679574322498	6938.30652439028	3552.176910684391	847.5550113869023	293.41653044106914	7203.604468989504	2250.1841945965402	3932.306498769222	7999.281721505622	2590.477426686667	3356.0509391886044	4140.936672531002	6470.6240958304625	7919.521400189571	900.3224765485727	8865.488023961449	5787.448874157156	2763.69795882645	6624.733786002506	2626.1881555143873	1283.2648993789708	1509.486266114575	3485.655058505881	3073.8578204138453	4445.828334661184	6186.231003649574	3765.6059109126204	7011.659616516021	5846.445959701007	1741.7757564139006	7193.060684171346	5384.277217633315	3664.2954481443753	8053.858422633621	1558.788502929644	1023.496958987192	448.0511974709641	7799.8018050376095	699.5950964608395	5006.45915297961	6251.771049831073	4579.772403030148	6163.949511447888	7137.364403849324	5976.581701797778	1838.624984421495	2074.9757863563195	5773.23005788215	7303.021954758707	6108.780344460503	3192.9196662026043	1561.2221267060256	3177.192921172885	539.9026185858313	3418.858672578102	1338.1255452677167	6011.839103987643	4571.86486681401	833.758908696592	399.8630253631502	5216.644004761109	5421.0660298445755	5755.79588861191	8183.6082609685145	2789.410897335989	6515.718858067784	2207.941113579312	4548.616286952017	802.9727081233943	1027.9604071337867	7330.169849132047	7832.84009381644	1572.6610128877676	6538.647255473852	3464.4333434888067	5034.117996569136	1698.8915605993595	3578.546864624879
Captopril Action Pathway	4	HMDB/SMPDB	632.2421277778875	344.3978369334354	9628.430808576848	1676.0352592709826	5246.790579899266	1653.3996338217114	1311.1959059477113	1895.2701885573008	8189.735901938367	1999.3563556013505	89.68176962246709	7390.546960826601	8599.100416662235	2252.857708297981	145.107777342657	9146.281357238568	6871.480258846049	9132.944395361688	2836.2137589211598	8923.494590445674	5698.085717126147	59.21203170911772	1407.7324718071827	9573.374351882892	2377.141879191235	1319.0794872485446	4026.189953943715	4460.813182359027	750.748968187922	8922.506224087385	7453.518800182634	1613.9968226746694	1556.4668984568536	8796.410965844863	7287.384889545311	3311.9202424333203	9405.305776635647	5844.164917659037	8994.12732271073	462.5384169642712	1730.8177797523065	139.2991866893996	1379.7534610159605	4226.840106515331	9569.272373425503	1614.3584650133562	652.6058772643505	9390.215443969586	7435.016116321925	1243.0998541132265	47.06202726625785	5282.407841709636	9622.61614673204	1082.6133365146848	9167.820538089683	1365.65749636351	3985.104127307353	97.88935799930442	7560.709305100003	667.3780499844047	8071.390036782945	6305.831766106392	9654.80736568533	4896.52062238903	3466.6997079520083	1450.2765919653384	2822.7805454648183	2704.997012044145	9633.53802426628	8117.187687322428	494.0657933396761	9299.542382575717	9603.810774448662	9457.562657711129	2641.989330492619	2571.6993642039947	9687.844647304844	1707.5945349464153	161.88324816898603	1360.7347612005183	2284.8331627934795	6597.041512503366	9603.312074007286	8976.286387063936	6355.522077815662	2226.8997422087227	142.45319125992418	2849.9481133722006	9085.823467416996	6024.120003750403	4801.0656499361485	83.04395084295057	2216.59361472447	2133.823989745753	7921.920979119249	8962.184468410405	15.274057970829654	792.4185533334822	7269.180415215595	9435.623856538006	229.29601669130014	1779.9620661535337	5674.615846443849	8754.088090159901	8691.808101901985	9759.619569753733	1002.9892453276736	5163.328505095281	4344.143648760741	411.37899310375406	7428.290447041204	1546.867496962836	9524.68929166939	5602.6396088810025	3362.9276313309415	907.474527477186	182.59333455129448	7809.751217595439	160.19985959713725	6887.458199500751	9440.348588865038	9254.22169525987	8666.113386806946	4176.4364809213075	6753.8269567370235	1228.2911886949921	1674.4945818429167	7238.265810044186	9886.363968042411	4888.604742665953	9513.234552857222	2583.153471131727	1007.5099064511447	7472.628476404401	438.70641949566954	8910.966682519966	9060.075960432787	9524.28999314533	7535.840747996023	3068.9270833918918	3864.594783528996	9711.961249016776	8779.827786989523	9133.111660584847	2143.887725236246	2591.9470227090283	1221.9395667815945
Captopril Pathway	4	HMDB/SMPDB	632.2421277778875	344.3978369334354	9628.430808576848	1676.0352592709826	5246.790579899266	1653.3996338217114	1311.1959059477113	1895.2701885573008	8189.735901938367	1999.3563556013505	89.68176962246709	7390.546960826601	8599.100416662235	2252.857708297981	145.107777342657	9146.281357238568	6871.480258846049	9132.944395361688	2836.2137589211598	8923.494590445674	5698.085717126147	59.21203170911772	1407.7324718071827	9573.374351882892	2377.141879191235	1319.0794872485446	4026.189953943715	4460.813182359027	750.748968187922	8922.506224087385	7453.518800182634	1613.9968226746694	1556.4668984568536	8796.410965844863	7287.384889545311	3311.9202424333203	9405.305776635647	5844.164917659037	8994.12732271073	462.5384169642712	1730.8177797523065	139.2991866893996	1379.7534610159605	4226.840106515331	9569.272373425503	1614.3584650133562	652.6058772643505	9390.215443969586	7435.016116321925	1243.0998541132265	47.06202726625785	5282.407841709636	9622.61614673204	1082.6133365146848	9167.820538089683	1365.65749636351	3985.104127307353	97.88935799930442	7560.709305100003	667.3780499844047	8071.390036782945	6305.831766106392	9654.80736568533	4896.52062238903	3466.6997079520083	1450.2765919653384	2822.7805454648183	2704.997012044145	9633.53802426628	8117.187687322428	494.0657933396761	9299.542382575717	9603.810774448662	9457.562657711129	2641.989330492619	2571.6993642039947	9687.844647304844	1707.5945349464153	161.88324816898603	1360.7347612005183	2284.8331627934795	6597.041512503366	9603.312074007286	8976.286387063936	6355.522077815662	2226.8997422087227	142.45319125992418	2849.9481133722006	9085.823467416996	6024.120003750403	4801.0656499361485	83.04395084295057	2216.59361472447	2133.823989745753	7921.920979119249	8962.184468410405	15.274057970829654	792.4185533334822	7269.180415215595	9435.623856538006	229.29601669130014	1779.9620661535337	5674.615846443849	8754.088090159901	8691.808101901985	9759.619569753733	1002.9892453276736	5163.328505095281	4344.143648760741	411.37899310375406	7428.290447041204	1546.867496962836	9524.68929166939	5602.6396088810025	3362.9276313309415	907.474527477186	182.59333455129448	7809.751217595439	160.19985959713725	6887.458199500751	9440.348588865038	9254.22169525987	8666.113386806946	4176.4364809213075	6753.8269567370235	1228.2911886949921	1674.4945818429167	7238.265810044186	9886.363968042411	4888.604742665953	9513.234552857222	2583.153471131727	1007.5099064511447	7472.628476404401	438.70641949566954	8910.966682519966	9060.075960432787	9524.28999314533	7535.840747996023	3068.9270833918918	3864.594783528996	9711.961249016776	8779.827786989523	9133.111660584847	2143.887725236246	2591.9470227090283	1221.9395667815945
